Id,Date,Time,League,Season,Round,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No
Q3gHukS8,22/12/2024,12:00,BÉLGICA - CHALLENGER PRO LEAGUE,2024/2025,RODADA 16,Patro Eisden,Seraing,1.45,4.33,5.75,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.73,2.0
2opLfWMM,22/12/2024,12:00,ESCÓCIA - PREMIERSHIP,2024/2025,RODADA 18,Hearts,St. Johnstone,1.53,4.33,5.75,1.36,3.0,1.04,13.0,1.25,4.0,1.75,2.05,3.0,1.4,5.5,1.14,1.91,1.91
ppUpmTYQ,22/12/2024,12:15,ESPANHA - LALIGA,2024/2025,RODADA 18,Real Madrid,Sevilla,1.33,5.0,9.0,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.8,1.95
juYPA2dR,22/12/2024,12:30,ALEMANHA - 3. LIGA,2024/2025,RODADA 19,Verl,Osnabruck,1.8,3.6,3.8,1.33,3.25,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.62,2.2
p2iZX7i5,22/12/2024,12:30,PORTUGAL - LIGA PORTUGAL 2,2024/2025,RODADA 15,Torreense,Penafiel,2.15,3.25,3.1,1.44,2.63,1.06,9.5,1.3,3.4,2.05,1.8,3.5,1.29,7.0,1.1,1.8,1.91
SYpV2ZvI,22/12/2024,12:45,PAÍSES BAIXOS - EREDIVISIE,2024/2025,RODADA 17,Willem II,Nijmegen,2.7,3.6,2.4,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.91
z3j8pZSs,22/12/2024,12:45,PAÍSES BAIXOS - EERSTE DIVISIE,2024/2025,RODADA 20,Den Haag,Oss,1.36,5.0,7.0,1.29,3.5,1.02,19.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.8,1.91
6uA4hEgK,22/12/2024,13:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 16,Panathinaikos,Athens Kallithea,1.25,5.75,15.0,1.33,3.25,1.04,12.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,2.38,1.53
0xtS6R3t,22/12/2024,13:00,SÉRVIA - SUPERLIGA,2024/2025,RODADA 20,Sp. Subotica,Napredak,2.12,3.1,3.25,1.5,2.42,1.08,6.4,1.39,2.77,2.15,1.62,3.7,1.23,6.5,1.08,1.9,1.8
AkxYFIsI,22/12/2024,13:00,TURQUIA - SUPER LIG,2024/2025,RODADA 17,Trabzonspor,Bodrumspor,1.62,3.7,5.5,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.83,1.83
z11FX036,22/12/2024,13:15,ITÁLIA - SERIE B,2024/2025,RODADA 18,Cremonese,Sampdoria,1.8,3.5,4.5,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.8,1.95
46fsd4S9,22/12/2024,13:30,CROÁCIA - HNL,2024/2025,RODADA 18,Sibenik,Hajduk Split,9.0,4.0,1.36,1.4,2.75,1.07,9.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,2.25,1.57
Sxm2FZvJ,22/12/2024,13:30,INGLATERRA - PREMIER LEAGUE,2024/2025,RODADA 17,Tottenham,Liverpool,4.33,4.0,1.75,1.18,4.5,1.01,29.0,1.08,8.0,1.3,3.5,1.73,2.1,2.75,1.44,1.33,3.25
lUGbusgg,22/12/2024,13:30,ALEMANHA - BUNDESLIGA,2024/2025,RODADA 15,Wolfsburg,Dortmund,3.1,3.6,2.15,1.29,3.5,1.03,15.0,1.17,5.0,1.62,2.3,2.38,1.57,4.33,1.22,1.5,2.5
jeUAkyDk,22/12/2024,14:00,ITÁLIA - SERIE A,2024/2025,RODADA 17,Atalanta,Empoli,1.29,5.0,11.0,1.3,3.4,1.04,12.0,1.22,4.33,1.67,2.2,2.75,1.44,5.0,1.17,2.1,1.67
MTVXJhtT,22/12/2024,14:00,PORTUGAL - LIGA PORTUGAL,2024/2025,RODADA 15,Santa Clara,Braga,3.1,3.2,2.3,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.95,1.8
Y395MoHO,22/12/2024,14:30,BÉLGICA - LIGA JUPILER,2024/2025,RODADA 19,Royale Union SG,Club Brugge,2.6,3.25,2.6,1.4,2.75,1.06,10.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.75,2.0
xUqqoWof,22/12/2024,14:30,GRÉCIA - SUPERLIGA,2024/2025,RODADA 16,PAOK,Atromitos,1.4,4.5,8.5,1.36,3.0,1.05,11.0,1.25,3.75,1.83,2.03,3.0,1.36,6.0,1.13,2.05,1.7
EBWdft2b,22/12/2024,14:30,ESPANHA - LALIGA,2024/2025,RODADA 18,Las Palmas,Espanyol,1.75,3.7,4.5,1.44,2.63,1.06,9.5,1.33,3.4,2.0,1.8,3.75,1.29,7.0,1.1,1.95,1.8
8dzG113l,22/12/2024,15:00,ISRAEL - LIGAT HA'AL,2024/2025,RODADA 15,Kiryat Shmona,Ashdod,2.47,3.2,2.77,1.42,2.67,1.08,6.6,1.36,2.9,2.05,1.7,3.5,1.26,6.2,1.09,1.82,1.88
pGW7n76b,22/12/2024,15:00,PORTUGAL - LIGA PORTUGAL 2,2024/2025,RODADA 15,Benfica B,FC Felgueiras,2.45,3.1,2.8,1.4,2.75,1.06,10.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,1.73,2.0
YyiDLkR8,22/12/2024,15:00,ROMÊNIA - SUPERLIGA,2024/2025,RODADA 21,Din. Bucuresti,Rapid Bucuresti,2.9,3.0,2.35,1.5,2.5,1.08,7.5,1.4,2.75,2.3,1.6,4.33,1.2,10.0,1.06,1.91,1.8
ENUvyoWH,22/12/2024,15:15,BÉLGICA - LIGA JUPILER,2024/2025,RODADA 19,Cercle Brugge,Leuven,2.1,3.4,3.4,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.75,2.0
ARqZSBr3,22/12/2024,15:15,BÉLGICA - CHALLENGER PRO LEAGUE,2024/2025,RODADA 16,K. Lierse S.K.,Lommel SK,3.0,3.4,2.15,1.33,3.25,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.57,2.25
SxLZaor9,22/12/2024,15:30,ALEMANHA - 3. LIGA,2024/2025,RODADA 19,Rostock,Hannover II,1.55,4.0,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,1.8,1.91
hxpVwFvR,22/12/2024,16:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 16,AEK,Levadiakos,1.17,7.0,17.0,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,2.5,1.5
Ecs10hR7,22/12/2024,16:45,ITÁLIA - SERIE A,2024/2025,RODADA 17,Monza,Juventus,5.75,3.4,1.67,1.5,2.5,1.08,7.5,1.4,3.0,2.3,1.62,4.33,1.22,9.0,1.07,2.1,1.67
fyTXlDu3,22/12/2024,17:30,PORTUGAL - LIGA PORTUGAL,2024/2025,RODADA 15,Gil Vicente,Sporting,9.0,5.5,1.3,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.53,4.0,1.22,1.95,1.8
MBGYokKt,23/12/2024,05:00,AUSTRÁLIA - A-LEAGUE,2024/2025,RODADA 9,Macarthur FC,Central Coast Mariners,1.9,3.6,3.75,1.33,3.25,1.03,15.0,1.2,4.5,1.67,2.2,2.63,1.5,4.5,1.2,1.62,2.2
AgQ1Yh2l,23/12/2024,10:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 16,Asteras T.,Aris,3.0,3.1,2.5,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.91,1.91
ETL81WR0,23/12/2024,10:30,SÉRVIA - SUPERLIGA,2024/2025,RODADA 20,OFK Beograd,TSC,2.72,3.25,2.35,1.42,2.67,1.06,7.4,1.29,3.25,1.87,1.83,3.05,1.33,5.3,1.12,1.7,2.05
EXJn5UtS,23/12/2024,12:00,ROMÊNIA - SUPERLIGA,2024/2025,RODADA 21,UTA Arad,Botosani,2.1,3.0,3.6,1.5,2.5,1.08,7.5,1.36,3.0,2.25,1.62,4.0,1.22,9.0,1.07,1.91,1.8
vZHIUA1D,23/12/2024,13:00,GRÉCIA - SUPERLIGA,2024/2025,RODADA 16,OFI Crete,Volos,2.1,3.2,3.75,1.44,2.63,1.07,8.5,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.8,1.95
W2ezYj33,23/12/2024,14:00,TURQUIA - SUPER LIG,2024/2025,RODADA 17,Basaksehir,Kasimpasa,2.07,3.45,3.6,1.4,2.9,1.06,9.25,1.28,3.7,1.83,1.98,3.0,1.39,5.5,1.15,1.65,2.15
ltc7UHdB,23/12/2024,14:00,TURQUIA - SUPER LIG,2024/2025,RODADA 17,Hatayspor,Adana Demirspor,1.62,4.1,5.3,1.37,3.05,1.05,10.25,1.25,3.95,1.75,2.07,2.85,1.44,5.1,1.17,1.78,1.98
bLXImFs2,23/12/2024,14:30,ITÁLIA - SERIE A,2024/2025,RODADA 17,Fiorentina,Udinese,1.57,3.75,6.0,1.36,3.0,1.05,11.0,1.29,3.75,1.91,1.99,3.2,1.36,6.0,1.13,1.91,1.91
tAYNauY0,23/12/2024,15:00,ISRAEL - LIGAT HA'AL,2024/2025,RODADA 15,B. Jerusalem,Ironi Tiberias,1.42,4.45,6.7,1.33,3.05,1.04,8.5,1.21,4.0,1.62,2.15,2.5,1.47,4.2,1.19,1.83,1.87
fiuMJTeL,23/12/2024,15:00,ROMÊNIA - SUPERLIGA,2024/2025,RODADA 21,Poli Iasi,FCSB,4.2,3.5,1.73,1.44,2.63,1.07,9.0,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,2.0,1.73
EujoR9md,23/12/2024,15:45,PORTUGAL - LIGA PORTUGAL,2024/2025,RODADA 15,Benfica,Estoril,1.1,9.0,21.0,1.2,4.33,1.01,23.0,1.1,7.0,1.36,3.1,1.83,1.83,3.0,1.36,2.25,1.57
6FnwTVIq,23/12/2024,15:45,PORTUGAL - LIGA PORTUGAL,2024/2025,RODADA 15,Vitória de Guimarães,Nacional,1.5,4.0,6.5,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.9,3.4,1.3,6.5,1.11,2.0,1.75
dIvHrDcf,23/12/2024,16:00,PAÍSES BAIXOS - EERSTE DIVISIE,2024/2025,RODADA 20,Jong Ajax,Roda,3.0,3.6,2.2,1.3,3.4,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.5,2.5
pIkp4zSr,23/12/2024,16:45,ITÁLIA - SERIE A,2024/2025,RODADA 17,Inter,Como,1.27,5.25,12.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,2.0,1.75
GrigDBI6,23/12/2024,16:45,IRLANDA DO NORTE - PREMIERSHIP,2024/2025,RODADA 22,Dungannon,Larne,3.6,3.4,1.98,1.47,2.5,1.08,6.5,1.39,2.77,2.15,1.62,3.75,1.23,6.5,1.08,1.98,1.75
nV56YieM,23/12/2024,17:45,PORTUGAL - LIGA PORTUGAL,2024/2025,RODADA 15,Estrela da Amadora,Rio Ave,2.35,3.3,3.0,1.44,2.63,1.07,8.5,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,1.91,1.91
zJQDKk6r,26/12/2024,09:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Barry,Penybont,2.88,3.62,2.18,1.29,3.42,1.01,15.0,1.14,4.45,1.59,2.22,2.43,1.44,4.45,1.14,1.5,2.51
SQrLITze,26/12/2024,09:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Cardiff Metropolitan,Briton Ferry,1.45,3.9,6.5,1.35,2.95,1.04,8.25,1.21,3.95,1.62,2.15,2.5,1.47,4.1,1.2,1.72,2.0
ltXTG757,26/12/2024,11:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Aberystwyth,Bala Town,5.89,4.15,1.49,1.33,3.14,,,1.19,3.76,1.71,2.03,2.66,1.37,4.8,1.12,1.8,1.96
GnPFvBcE,26/12/2024,11:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Caernarfon,TNS,6.64,4.9,1.37,1.25,3.75,,,1.11,5.0,1.4,2.56,2.02,1.71,3.08,1.28,1.61,2.25
CEIOxkSQ,26/12/2024,11:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Connah's Q.,Flint,1.39,4.15,7.1,1.37,2.85,1.05,7.9,1.25,3.55,1.75,1.95,2.82,1.38,4.85,1.14,2.0,1.72
8p4fXSkl,26/12/2024,11:30,PAÍS DE GALES - PREMIER LEAGUE,2024/2025,RODADA 20,Newtown,Haverfordwest,3.15,3.35,2.07,1.42,2.67,1.06,7.3,1.31,3.2,1.9,1.8,3.15,1.31,5.5,1.11,1.75,1.95
S8JtpTlg,27/12/2024,05:35,AUSTRÁLIA - A-LEAGUE,2024/2025,RODADA 10,Adelaide United,WS Wanderers,1.83,4.1,3.5,1.29,3.5,1.02,19.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.5,2.5
lO7kr7J5,27/12/2024,08:45,AUSTRÁLIA - A-LEAGUE,2024/2025,RODADA 10,Perth Glory,Macarthur FC,4.33,4.1,1.67,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.5,2.38,1.57,4.0,1.25,1.57,2.25
EZCwiWxH,28/12/2024,01:00,AUSTRÁLIA - A-LEAGUE,2024/2025,RODADA 10,Wellington Phoenix,Newcastle Jets,1.7,3.8,4.5,1.36,3.0,1.04,12.0,1.29,3.75,1.85,2.0,3.2,1.36,5.5,1.14,1.8,1.95
zk1nkA7T,28/12/2024,03:00,AUSTRÁLIA - A-LEAGUE,2024/2025,RODADA 10,Central Coast Mariners,Auckland FC,3.0,3.4,2.25,1.4,2.75,1.06,10.0,1.3,3.5,1.98,1.88,3.4,1.33,6.5,1.11,1.75,2.0
