Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2023,U72bJ3q5,2023-05-26,21:30,ARGENTINA - LIGA PROFISSIONAL,Atl. Tucuman,Arsenal Sarandí,RODADA 18,1,0,bet365,1.85,3.4,4.33,bet365,1.44,2.63,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.75
2023,CUSZaFrp,2023-05-27,11:00,ARGENTINA - LIGA PROFISSIONAL,Gimnasia L.P.,Sarmiento Junin,RODADA 18,0,0,bet365,2.38,3.3,3.0,bet365,1.5,2.5,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.75
2023,Uup8BsvP,2023-05-27,16:00,BRASIL - SÉRIE A,Athletico-PR,Grêmio,RODADA 8,1,2,bet365,1.6,3.8,5.5,bet365,1.44,2.63,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67
2023,YDAlKZsP,2023-05-27,16:00,BRASIL - SÉRIE A,Fortaleza,Vasco,RODADA 8,2,0,bet365,1.65,4.0,5.0,bet365,1.36,3.0,bet365,1.04,13.0,bet365,1.29,3.5,bet365,1.9,1.95,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.91,1.91
2023,4IllFlZh,2023-05-27,16:30,BRASIL - SÉRIE C,Ypiranga,Manaus,PRIMEIRA FASE ,2,0,Betano.br,1.52,3.8,6.4,Betano.br,1.47,2.5,Betano.br,1.08,6.6,Betano.br,1.37,2.87,Betano.br,2.05,1.7,Betano.br,3.55,1.25,Betano.br,6.2,1.09,Betano.br,2.18,1.6
2023,f9YFUiEf,2023-05-27,17:00,BRASIL - SÉRIE B,CRB,Juventude,RODADA 9,1,2,Betano.br,2.4,3.0,3.0,Betano.br,1.57,2.27,Betano.br,1.11,5.7,Betano.br,1.47,2.5,Betano.br,2.37,1.52,Betano.br,4.25,1.18,Betano.br,7.4,1.06,Betano.br,2.02,1.72
2023,Sh5Swdi8,2023-05-27,17:00,BRASIL - SÉRIE B,Ituano,Londrina,RODADA 9,3,1,Betano.br,1.93,3.1,4.15,Betano.br,1.53,2.32,Betano.br,1.1,5.9,Betano.br,1.42,2.65,Betano.br,2.25,1.57,Betano.br,3.9,1.21,Betano.br,6.8,1.07,Betano.br,2.0,1.72
2023,MBfTFLP3,2023-05-27,17:00,BRASIL - SÉRIE C,Brusque,São José,PRIMEIRA FASE ,0,1,Betano.br,1.72,3.2,5.4,Betano.br,1.55,2.3,Betano.br,1.1,5.8,Betano.br,1.44,2.57,Betano.br,2.3,1.55,Betano.br,4.0,1.21,Betano.br,6.9,1.07,Betano.br,2.12,1.65
2023,EkHpFCE7,2023-05-27,17:30,BRASIL - SÉRIE B,Avaí,Vitória,RODADA 9,1,1,Betano.br,2.18,3.0,3.5,Betano.br,1.57,2.25,Betano.br,1.11,5.6,Betano.br,1.47,2.5,Betano.br,2.37,1.52,Betano.br,4.25,1.18,Betano.br,7.4,1.06,Betano.br,2.02,1.7
2023,zaItGha1,2023-05-27,18:00,BRASIL - SÉRIE B,Atlético-GO,Botafogo-SP,RODADA 9,1,1,Betano.br,1.55,3.85,5.8,Betano.br,1.42,2.67,Betano.br,1.06,7.3,Betano.br,1.31,3.2,Betano.br,1.91,1.8,Betano.br,3.15,1.31,Betano.br,5.5,1.11,Betano.br,2.0,1.72
